head_sync,Time
0.185557136,0
0.195915592,0.4
0.15033863,0.8
0.100649059,1.2
0.120633234,1.6
0.120782973,2
0.153077024,2.4
0.195957219,2.8
0.221350077,3.2
0.205871927,3.6
0.199649796,4
0.202600214,4.4
0.208659548,4.8
0.189879833,5.2
0.211392726,5.6
0.197895238,6
0.193711544,6.4
0.18256305,6.8
0.229801812,7.2
0.211809157,7.6
0.21000782,8
0.205763904,8.4
0.186409852,8.8
0.178987003,9.2
0.187999293,9.6
0.194073215,10
0.186531007,10.4
0.173880963,10.8
0.174968326,11.2
0.156341495,11.6
0.131997671,12
0.154102641,12.4
0.173014596,12.8
0.174481072,13.2
0.190735547,13.6
0.230028496,14
0.224404932,14.4
0.225837967,14.8
0.210622642,15.2
0.180204741,15.6
0.204045638,16
0.194613237,16.4
0.161707766,16.8
0.189467195,17.2
0.17486836,17.6
0.151689156,18
0.182931791,18.4
0.193456397,18.8
0.178233771,19.2
0.182592726,19.6
0.138337327,20
0.103670842,20.4
0.123372577,20.8
0.1813464,21.2
0.170928265,21.6
0.161748621,22
0.157034036,22.4
0.112889452,22.8
0.116500837,23.2
0.102969044,23.6
0.14204666,24
0.171342592,24.4
0.192778991,24.8
0.212780259,25.2
0.194898861,25.6
0.159144998,26
0.131221455,26.4
0.162779889,26.8
0.136734544,27.2
0.154542056,27.6
0.169256487,28
0.187986759,28.4
0.176099314,28.8
0.150102731,29.2
0.161188814,29.6
0.169120167,30
0.152498969,30.4
0.15445126,30.8
0.153126479,31.2
0.130057252,31.6
0.127244778,32
0.123543648,32.4
0.123987327,32.8
0.126825849,33.2
0.130874438,33.6
0.126184626,34
0.147969345,34.4
0.155192999,34.8
0.146490323,35.2
0.146973916,35.6
0.137590126,36
0.136975913,36.4
0.149811812,36.8
0.151644641,37.2
0.143566882,37.6
0.13197934,38
0.149734756,38.4
0.118620156,38.8
0.127663765,39.2
0.193752131,39.6
0.18260483,40
0.186582726,40.4
0.171633782,40.8
0.184966429,41.2
0.145447615,41.6
0.117337847,42
0.110089018,42.4
0.141555408,42.8
0.148228337,43.2
0.154149001,43.6
0.146888864,44
0.137163554,44.4
0.117492041,44.8
0.136048275,45.2
0.14575895,45.6
0.139207399,46
0.141461897,46.4
0.164781972,46.8
0.135157578,47.2
0.136063497,47.6
0.144533596,48
0.139780172,48.4
0.131578823,48.8
0.162220643,49.2
0.16133126,49.6
0.157647685,50
0.119576881,50.4
0.114158445,50.8
0.104390547,51.2
0.128585909,51.6
0.127099208,52
0.131198985,52.4
0.155645881,52.8
0.133292795,53.2
0.197473035,53.6
0.225370038,54
0.220329164,54.4
0.195422995,54.8
0.182194418,55.2
0.217318963,55.6
0.229911994,56
0.196185144,56.4
0.15113357,56.8
0.130033349,57.2
0.133565297,57.6
0.177131999,58
0.149114351,58.4
0.127143859,58.8
0.107935732,59.2
0.093314652,59.6
0.091052972,60
0.091593235,60.4
0.113109511,60.8
0.125948123,61.2
0.117760317,61.6
0.106883883,62
0.110268913,62.4
0.10772987,62.8
0.109981424,63.2
0.106469219,63.6
0.094508895,64
0.104822337,64.4
0.104638633,64.8
0.093153932,65.2
0.086334309,65.6
0.093629781,66
0.096825779,66.4
0.10111316,66.8
0.132121455,67.2
0.128789911,67.6
0.140108329,68
0.12874016,68.4
0.172391851,68.8
0.214550643,69.2
0.228789024,69.6
0.229749156,70
0.199621873,70.4
0.19583301,70.8
0.171615004,71.2
0.157590029,71.6
0.158617631,72
0.158480063,72.4
0.130372,72.8
0.146520333,73.2
0.155227357,73.6
0.125929837,74
0.127528591,74.4
0.132284229,74.8
0.145315268,75.2
0.162159159,75.6
0.181402309,76
0.147231514,76.4
0.144235843,76.8
0.132181674,77.2
0.135182774,77.6
0.138465247,78
0.135365093,78.4
0.131028498,78.8
0.115631863,79.2
0.13565234,79.6
0.154711239,80
0.161725602,80.4
0.128245723,80.8
0.129265067,81.2
0.132849221,81.6
0.163289844,82
0.193195319,82.4
0.184031416,82.8
0.160977764,83.2
0.181582146,83.6
0.15757809,84
0.127455236,84.4
0.131462149,84.8
0.122908197,85.2
0.08130482,85.6
0.08347954,86
0.076094087,86.4
0.089648632,86.8
0.092972483,87.2
0.104063048,87.6
0.102862024,88
0.11604694,88.4
0.134656477,88.8
0.1434461,89.2
0.14831191,89.6
0.151398741,90
0.166397492,90.4
0.168721973,90.8
0.177073482,91.2
0.17988206,91.6
0.1512373,92
0.132826851,92.4
0.089430428,92.8
0.093279418,93.2
0.117234453,93.6
0.109806191,94
0.140123795,94.4
0.168487379,94.8
0.162631659,95.2
0.179410605,95.6
0.226725807,96
0.233583085,96.4
0.206020364,96.8
0.22017027,97.2
0.204495491,97.6
0.221390559,98
0.233110688,98.4
0.233448846,98.8
0.240775554,99.2
0.217612167,99.6
0.207133183,100
0.18435684,100.4
0.161025031,100.8
0.128789025,101.2
0.126941987,101.6
0.141784447,102
0.121185847,102.4
0.132525796,102.8
0.115752299,103.2
0.112143036,103.6
0.10840236,104
0.103410669,104.4
0.117094227,104.8
0.10259756,105.2
0.10176147,105.6
0.101398668,106
0.117845169,106.4
0.137668238,106.8
0.129990938,107.2
0.147038123,107.6
0.155251322,108
0.158717291,108.4
0.16629613,108.8
0.145185957,109.2
0.13573767,109.6
0.119547399,110
0.133144941,110.4
0.144540967,110.8
0.139073704,111.2
0.140693408,111.6
0.139603082,112
0.138135329,112.4
0.121985271,112.8
0.098694876,113.2
0.096792227,113.6
0.091021412,114
0.132165544,114.4
0.149835855,114.8
0.174455448,115.2
