r_l_VM,Time
0.098598016,2.4
-0.106585995,2.8
-0.279556082,3.2
-0.422270997,3.6
-0.536689491,4
-0.624770318,4.4
-0.688472229,4.8
-0.729753975,5.2
-0.75057431,5.6
-0.752891983,6
-0.738665749,6.4
-0.709854358,6.8
-0.668416563,7.2
-0.650563516,7.6
-0.598672071,8
-0.523683583,8.4
-0.438528248,8.8
-0.350432255,9.2
-0.260663064,9.6
-0.168588691,10
-0.072816783,10.4
0.024074497,10.8
0.116455229,11.2
0.212050888,11.6
0.323149539,12
0.447389621,12.4
0.569088384,12.8
0.664581461,13.2
0.734595986,13.6
0.792836267,14
0.853121484,14.4
0.929691016,14.8
1.012079445,15.2
1.064392451,15.6
1.053190647,16
0.988301716,16.4
0.907467519,16.8
0.833738923,17.2
0.767792478,17.6
0.713456073,18
0.678299912,18.4
0.648369367,18.8
0.606065907,19.2
0.547634055,19.6
0.473219385,20
0.38148846,20.4
0.275149468,20.8
0.167100939,21.2
0.066045735,21.6
-0.029541429,22
-0.122421428,22.4
-0.206440365,22.8
-0.26664498,23.2
-0.295926281,23.6
-0.293825003,24
-0.273390669,24.4
-0.262213369,24.8
-0.277151604,25.2
-0.312073373,25.6
-0.348703153,26
-0.376690092,26.4
-0.394412813,26.8
-0.402047105,27.2
-0.401975357,27.6
-0.404235794,28
-0.429600877,28.4
-0.479620325,28.8
-0.544239357,29.2
-0.618467452,29.6
-0.697985361,30
-0.781028999,30.4
-0.866482375,30.8
-0.952747047,31.2
-1.035788649,31.6
-1.10409653,32
-1.137356057,32.4
-1.120354048,32.8
-1.056035151,33.2
-0.954911018,33.6
-0.832655727,34
-0.697595492,34.4
-0.546808586,34.8
-0.381641522,35.2
-0.207959556,35.6
-0.034402979,36
0.129671007,36.4
0.274618042,36.8
0.392080039,37.2
0.476353672,37.6
0.523907898,38
0.531985756,38.4
0.496651955,38.8
0.412935536,39.2
0.285931204,39.6
0.140526193,40
-0.00103432,40.4
-0.121377154,40.8
-0.208598865,41.2
-0.267177872,41.6
-0.305293067,42
-0.328072615,42.4
-0.34137759,42.8
-0.350680985,43.2
-0.353760139,43.6
-0.338648066,44
-0.298185953,44.4
-0.234034723,44.8
-0.157597273,45.2
-0.086746712,45.6
-0.035143604,46
-0.011463263,46.4
-0.020262839,46.8
-0.06089129,47.2
-0.123397904,47.6
-0.192452811,48
-0.256736112,48.4
-0.311173947,48.8
-0.345420725,49.2
-0.347244343,49.6
-0.324261692,50
-0.289207267,50.4
-0.261689187,50.8
-0.263980481,51.2
-0.293901183,51.6
-0.338334638,52
-0.386696115,52.4
-0.430341525,52.8
-0.464737586,53.2
-0.488659704,53.6
-0.505349621,54
-0.524918236,54.4
-0.559477691,54.8
-0.608986926,55.2
-0.658829135,55.6
-0.694165335,56
-0.702894141,56.4
-0.672942926,56.8
-0.599101115,57.2
-0.492668912,57.6
-0.374853589,58
-0.265661936,58.4
-0.175715901,58.8
-0.107365105,59.2
-0.060734218,59.6
-0.036488911,60
-0.037308654,60.4
-0.056091753,60.8
-0.083560238,61.2
-0.119962899,61.6
-0.170739512,62
-0.242758777,62.4
-0.33966261,62.8
-0.449665052,63.2
-0.555546236,63.6
-0.65259551,64
-0.7379841,64.4
-0.803130562,64.8
-0.840694486,65.2
-0.851357531,65.6
-0.840104927,66
-0.815357304,66.4
-0.790868924,66.8
-0.780253502,67.2
-0.783542981,67.6
-0.784067664,68
-0.777224052,68.4
-0.770095814,68.8
-0.767084828,69.2
-0.769927537,69.6
-0.779436971,70
-0.79310808,70.4
-0.812947579,70.8
-0.839079857,71.2
-0.868947501,71.6
-0.898210865,72
-0.917689215,72.4
-0.920105943,72.8
-0.9126901,73.2
-0.907062199,73.6
-0.907165125,74
-0.912044768,74.4
-0.920519812,74.8
-0.932002462,75.2
-0.946718979,75.6
-0.966731732,76
-0.997145531,76.4
-1.040145948,76.8
-1.076516137,77.2
-1.069036812,77.6
-1.032298637,78
-0.987156159,78.4
-0.934760936,78.8
-0.871676562,79.2
-0.798556988,79.6
-0.724147836,80
-0.657406323,80.4
-0.601860121,80.8
-0.558026615,81.2
-0.524997853,81.6
-0.50080388,82
-0.486560997,82.4
-0.485174967,82.8
-0.495800311,83.2
-0.51794334,83.6
-0.552456679,84
-0.601672978,84.4
-0.669304386,84.8
-0.753742638,85.2
-0.834706166,85.6
-0.903082452,86
-0.955324619,86.4
-0.976204276,86.8
-0.960282083,87.2
-0.934307119,87.6
-0.904806604,88
-0.867351754,88.4
-0.824363946,88.8
-0.784659898,89.2
-0.757289593,89.6
-0.742771092,90
-0.737407624,90.4
-0.742347272,90.8
-0.760694336,91.2
-0.78845181,91.6
-0.825071757,92
-0.862295671,92.4
-0.889235952,92.8
-0.899376566,93.2
-0.889583924,93.6
-0.857936887,94
-0.800353889,94.4
-0.706863758,94.8
-0.568013363,95.2
-0.403757952,95.6
-0.2396772,96
-0.088493611,96.4
0.04143457,96.8
0.15087672,97.2
0.249180265,97.6
0.341897299,98
0.428984887,98.4
0.508614382,98.8
0.579233243,99.2
0.64037991,99.6
0.69364286,100
0.739513437,100.4
0.767647637,100.8
0.769343052,101.2
0.742549912,101.6
0.69774112,102
0.641524834,102.4
0.575101418,102.8
0.499379322,103.2
0.415446662,103.6
0.32422462,104
0.223875326,104.4
0.100692671,104.8
-0.059182462,105.2
-0.239670985,105.6
-0.423116898,106
-0.583993189,106.4
-0.695493552,106.8
-0.746204872,107.2
-0.746527408,107.6
-0.71229197,108
-0.652295945,108.4
-0.571366985,108.8
-0.473693281,109.2
-0.365670667,109.6
-0.260362607,110
-0.17645283,110.4
-0.119282133,110.8
-0.086313309,111.2
-0.077683953,111.6
-0.091053642,112
-0.125517087,112.4
-0.185110085,112.8
-0.274031612,113.2
-0.382324951,113.6
-0.496588959,114
-0.607736443,114.4
-0.696557173,114.8
-0.741236794,115.2
-0.745110375,115.6
-0.704351324,116
-0.626129702,116.4
-0.525599612,116.8
-0.415923134,117.2
-0.301181191,117.6
-0.176957079,118
-0.041808455,118.4
0.089983562,118.8
0.201030686,119.2
0.28322938,119.6
0.332473743,120
0.344267899,120.4
0.313005086,120.8
0.239647278,121.2
0.140244229,121.6
0.032847303,122
-0.071118573,122.4
-0.158767762,122.8
-0.211651199,123.2
-0.219367948,123.6
-0.187218797,124
-0.139822863,124.4
-0.096001894,124.8
-0.063610949,125.2
-0.045456844,125.6
-0.027316921,126
0.009348768,126.4
0.070333641,126.8
0.154908352,127.2
0.257918979,127.6
0.367719822,128
0.465886764,128.4
0.538081695,128.8
0.574155198,129.2
0.567178351,129.6
0.515125476,130
0.421209068,130.4
0.298592527,130.8
0.173704543,131.2
0.069201928,131.6
-0.006084936,132
-0.04888932,132.4
-0.058329074,132.8
-0.03773428,133.2
-0.000481312,133.6
0.039253282,134
0.081157175,134.4
0.115982087,134.8
0.135208551,135.2
0.150639423,135.6
0.166266664,136
0.182557334,136.4
0.209288872,136.8
0.253972264,137.2
0.313918904,137.6
0.373187082,138
0.407714666,138.4
0.400906736,138.8
0.348752607,139.2
0.255934878,139.6
0.138651715,140
0.020041279,140.4
-0.07602856,140.8
-0.135262202,141.2
-0.162862627,141.6
-0.172990877,142
-0.174581359,142.4
-0.172483931,142.8
-0.170576087,143.2
-0.171867769,143.6
-0.181575013,144
-0.206594971,144.4
-0.241294698,144.8
-0.265556392,145.2
-0.261262512,145.6
-0.221508745,146
-0.152951295,146.4
-0.073909182,146.8
0.001406152,147.2
0.074401679,147.6
0.147993296,148
0.233099283,148.4
0.332573439,148.8
0.438805171,149.2
0.541871729,149.6
0.630669997,150
0.695364225,150.4
0.725562276,150.8
0.709166367,151.2
0.642308339,151.6
0.531494794,152
0.385241919,152.4
0.214317269,152.8
0.037106519,153.2
-0.122508676,153.6
-0.256243568,154
-0.369098234,154.4
-0.46626604,154.8
-0.553371561,155.2
-0.63839368,155.6
-0.72525211,156
-0.807596999,156.4
-0.869343366,156.8
-0.8964735,157.2
-0.891877102,157.6
-0.863402459,158
-0.832555996,158.4
-0.816527805,158.8
-0.818667637,159.2
-0.8340521,159.6
-0.856698237,160
-0.883952698,160.4
-0.915348009,160.8
-0.947482066,161.2
-0.967880804,161.6
-0.966625492,162
-0.946619466,162.4
-0.910645143,162.8
-0.860710136,163.2
-0.808966409,163.6
-0.766080558,164
-0.735928319,164.4
-0.718665531,164.8
-0.699682828,165.2
-0.660551301,165.6
-0.60138362,166
-0.537176271,166.4
