r_r_lPFC,Time
-0.402044361,2.4
-0.355715121,2.8
-0.306476245,3.2
-0.254644317,3.6
-0.200535918,4
-0.144467629,4.4
-0.086756031,4.8
-0.027717707,5.2
0.032330764,5.6
0.093072798,6
0.154191814,6.4
0.215371232,6.8
0.276294469,7.2
0.348484186,7.6
0.414935109,8
0.479205502,8.4
0.540061227,8.8
0.596082573,9.2
0.646009514,9.6
0.685717194,10
0.712820615,10.4
0.729174551,10.8
0.743212999,11.2
0.768518659,11.6
0.809391141,12
0.859985118,12.4
0.914066446,12.8
0.963828121,13.2
0.997272584,13.6
1.005659963,14
0.995170042,14.4
0.980446981,14.8
0.969483951,15.2
0.962743691,15.6
0.960554744,16
0.965374719,16.4
0.9798145,16.8
0.999258203,17.2
1.010864628,17.6
1.001435039,18
0.965016422,18.4
0.914279359,18.8
0.862037622,19.2
0.813306477,19.6
0.769973277,20
0.733103162,20.4
0.70336034,20.8
0.680702491,21.2
0.664207753,21.6
0.655021788,22
0.657772696,22.4
0.669069558,22.8
0.68746888,23.2
0.712173895,23.6
0.730925343,24
0.731671877,24.4
0.707493954,24.8
0.655931853,25.2
0.587953645,25.6
0.519344707,26
0.454698682,26.4
0.387831822,26.8
0.313616065,27.2
0.237474361,27.6
0.173718942,28
0.137160551,28.4
0.129145219,28.8
0.145405214,29.2
0.183901751,29.6
0.243931416,30
0.323810401,30.4
0.418317918,30.8
0.522247712,31.2
0.634281695,31.6
0.748697419,32
0.84887874,32.4
0.921402487,32.8
0.950483536,33.2
0.920780581,33.6
0.833681055,34
0.699784743,34.4
0.534897075,34.8
0.358791998,35.2
0.177118314,35.6
-0.021220472,36
-0.232824027,36.4
-0.427182156,36.8
-0.581835518,37.2
-0.689683924,37.6
-0.748406699,38
-0.756525914,38.4
-0.718508933,38.8
-0.646377677,39.2
-0.551210539,39.6
-0.435371739,40
-0.298995966,40.4
-0.144632211,40.8
0.023100452,41.2
0.195017581,41.6
0.361344866,42
0.515229712,42.4
0.652790153,42.8
0.771900857,43.2
0.871230064,43.6
0.94981084,44
1.006761543,44.4
1.040148062,44.8
1.046257205,45.2
1.023674365,45.6
0.977781331,46
0.929594089,46.4
0.89153339,46.8
0.86200865,47.2
0.839378298,47.6
0.820194858,48
0.797311023,48.4
0.766864231,48.8
0.735024115,49.2
0.712688344,49.6
0.703629278,50
0.706261191,50.4
0.721102217,50.8
0.748769951,51.2
0.782438433,51.6
0.809935031,52
0.834200613,52.4
0.864424394,52.8
0.901010858,53.2
0.931968325,53.6
0.943710647,54
0.925726216,54.4
0.868812162,54.8
0.766764175,55.2
0.622321921,55.6
0.459640126,56
0.296385792,56.4
0.127549832,56.8
-0.050316062,57.2
-0.22689037,57.6
-0.38191382,58
-0.504855993,58.4
-0.603866569,58.8
-0.686051394,59.2
-0.7519667,59.6
-0.800676575,60
-0.832809155,60.4
-0.852603063,60.8
-0.867148232,61.2
-0.87703019,61.6
-0.872518374,62
-0.856490745,62.4
-0.844855065,62.8
-0.850797099,63.2
-0.868818944,63.6
-0.884606115,64
-0.893628809,64.4
-0.897187356,64.8
-0.891013535,65.2
-0.869937233,65.6
-0.831207115,66
-0.772560599,66.4
-0.688281236,66.8
-0.568431879,67.2
-0.413270117,67.6
-0.24025312,68
-0.068130479,68.4
0.101112238,68.8
0.269412995,69.2
0.430157245,69.6
0.570672866,70
0.688176219,70.4
0.786672264,70.8
0.869449267,71.2
0.938189784,71.6
0.98810832,72
1.009189668,72.4
0.997679061,72.8
0.957908191,73.2
0.891413152,73.6
0.793423284,74
0.667214008,74.4
0.531683965,74.8
0.404778398,75.2
0.291603684,75.6
0.186665417,76
0.083934906,76.4
-0.019004875,76.8
-0.122279544,77.2
-0.22545108,77.6
-0.329059212,78
-0.436367599,78.4
-0.55241018,78.8
-0.672809087,79.2
-0.77654018,79.6
-0.838675983,80
-0.848905353,80.4
-0.810205673,80.8
-0.731618404,81.2
-0.62575566,81.6
-0.502325734,82
-0.371309562,82.4
-0.247562944,82.8
-0.139702337,83.2
-0.040117427,83.6
0.065822698,84
0.189049193,84.4
0.327578546,84.8
0.466917978,85.2
0.593483016,85.6
0.701856153,86
0.789479093,86.4
0.852461315,86.8
0.887726233,87.2
0.897035858,87.6
0.885675499,88
0.863538883,88.4
0.848621205,88.8
0.854936832,89.2
0.882710986,89.6
0.924267246,90
0.963766129,90.4
0.986540173,90.8
0.984515735,91.2
0.950673115,91.6
0.875578605,92
0.757884305,92.4
0.610955154,92.8
0.452133027,93.2
0.287213736,93.6
0.112577536,94
-0.07703624,94.4
-0.274646652,94.8
-0.458355,95.2
-0.612285476,95.6
-0.728744716,96
-0.802711073,96.4
-0.82794117,96.8
-0.79973819,97.2
-0.726880333,97.6
-0.628504868,98
-0.518290423,98.4
-0.404334913,98.8
-0.295674177,99.2
-0.207629508,99.6
-0.157868177,100
-0.142379843,100.4
-0.136036493,100.8
-0.125439941,101.2
-0.120063992,101.6
-0.133754651,102
-0.174620461,102.4
-0.249916576,102.8
-0.364337328,103.2
-0.505592285,103.6
-0.646879387,104
-0.756464804,104.4
-0.812537469,104.8
-0.814241364,105.2
-0.766184626,105.6
-0.67348928,106
-0.543807588,106.4
-0.389954301,106.8
-0.228955152,107.2
-0.069437077,107.6
0.09555993,108
0.266187406,108.4
0.42528851,108.8
0.558386748,109.2
0.661725379,109.6
0.743676338,110
0.808109427,110.4
0.838120757,110.8
0.81445129,111.2
0.734189841,111.6
0.599350884,112
0.400769585,112.4
0.152309564,112.8
-0.086387267,113.2
-0.284994193,113.6
-0.440613341,114
-0.55470237,114.4
-0.627704349,114.8
-0.659319005,115.2
-0.649162311,115.6
-0.597183708,116
-0.503889568,116.4
-0.370679602,116.8
-0.201121056,117.2
-0.005055069,117.6
0.196049532,118
0.383603172,118.4
0.559081808,118.8
0.725278833,119.2
0.876653182,119.6
1.002045688,120
1.084088067,120.4
1.110836638,120.8
1.078163605,121.2
0.98616577,121.6
0.843352375,122
0.683052403,122.4
0.537483965,122.8
0.399715616,123.2
0.266449752,123.6
0.139129181,124
0.018640148,124.4
-0.095642427,124.8
-0.20490942,125.2
-0.304390356,125.6
-0.387341677,126
-0.455953935,126.4
-0.51331428,126.8
-0.559426001,127.2
-0.59200103,127.6
-0.608016728,128
-0.607523813,128.4
-0.599702417,128.8
-0.598725331,129.2
-0.618352181,129.6
-0.67026942,130
-0.750813431,130.4
-0.837053405,130.8
-0.903154019,131.2
-0.935963766,131.6
-0.931754258,132
-0.889885027,132.4
-0.808809602,132.8
-0.690257003,133.2
-0.542506648,133.6
-0.382778665,134
-0.228830524,134.4
-0.091695654,134.8
0.025746601,135.2
0.126126222,135.6
0.21208013,136
0.289243892,136.4
0.361627111,136.8
0.423850683,137.2
0.460634594,137.6
0.461275963,138
0.428654711,138.4
0.371862868,138.8
0.298852195,139.2
0.219564557,139.6
0.151564289,140
0.116348009,140.4
0.120538617,140.8
0.156597321,141.2
0.217973496,141.6
0.301504191,142
0.404580521,142.4
0.521465763,142.8
0.639488599,143.2
0.740087634,143.6
0.810755936,144
0.848625312,144.4
0.858763241,144.8
0.851755226,145.2
0.832236561,145.6
0.796588391,146
0.739449146,146.4
0.65722939,146.8
0.551264262,147.2
0.432155457,147.6
0.313092805,148
0.198146893,148.4
0.08242271,148.8
-0.042666016,149.2
-0.172654354,149.6
-0.288171949,150
-0.376100363,150.4
-0.429382707,150.8
-0.446644094,151.2
-0.435529327,151.6
-0.407749849,152
-0.372866387,152.4
-0.339700885,152.8
-0.318454545,153.2
-0.317869677,153.6
-0.339543491,154
-0.367842767,154.4
-0.384604777,154.8
-0.394364688,155.2
-0.406228482,155.6
-0.422474015,156
-0.442734869,156.4
-0.472037529,156.8
-0.522022301,157.2
-0.599328652,157.6
-0.687163745,158
-0.767288893,158.4
-0.827112777,158.8
-0.848297994,159.2
-0.819701237,159.6
-0.748625504,160
-0.645446346,160.4
-0.522237255,160.8
-0.391255648,161.2
-0.25775427,161.6
-0.120916373,162
0.020506965,162.4
0.168501523,162.8
0.325227483,163.2
0.484469683,163.6
0.632470752,164
0.749313719,164.4
0.822921362,164.8
0.859520367,165.2
0.86770569,165.6
0.851596433,166
0.814258017,166.4
0.76275429,166.8
0.715567097,167.2
0.690482122,167.6
0.671722981,168
0.640526285,168.4
0.590647268,168.8
0.521450028,169.2
0.433039397,169.6
0.32512636,170
0.20646616,170.4
0.098420632,170.8
0.018591347,171.2
-0.030742174,171.6
-0.062982308,172
-0.092081056,172.4
-0.131389669,172.8
-0.19626607,173.2
-0.291333215,173.6
-0.403989908,174
-0.512203713,174.4
-0.596734109,174.8
-0.646756546,175.2
-0.657430021,175.6
-0.627922811,176
-0.561238215,176.4
-0.466481641,176.8
-0.364012414,177.2
-0.28066363,177.6
-0.220446605,178
-0.175387688,178.4
-0.138629738,178.8
-0.10356257,179.2
-0.059926408,179.6
0.008572325,180
0.106852795,180.4
0.21134428,180.8
0.293146219,181.2
0.34147749,181.6
0.363974149,182
0.368497536,182.4
0.358591231,182.8
0.336504433,183.2
0.307129841,183.6
0.282465589,184
0.276830609,184.4
0.294270383,184.8
0.327003461,185.2
0.366887319,185.6
0.409456321,186
0.451192211,186.4
0.487721705,186.8
0.516439412,187.2
0.545874266,187.6
0.583677931,188
0.63170818,188.4
0.69026409,188.8
0.760696274,189.2
0.842603991,189.6
0.918208091,190
0.963557553,190.4
0.975485307,190.8
0.961968248,191.2
0.923328445,191.6
0.850038192,192
0.742232692,192.4
0.621562864,192.8
0.502932013,193.2
0.393320776,193.6
0.297822146,194
0.219828467,194.4
0.158276594,194.8
0.117383886,195.2
0.095232122,195.6
0.077800082,196
0.053481108,196.4
0.023105173,196.8
0.00058095,197.2
-0.001693395,197.6
0.022735544,198
0.076274574,198.4
0.157201178,198.8
0.256048476,199.2
0.355128101,199.6
0.448254179,200
0.53613111,200.4
0.602332552,200.8
0.632291145,201.2
0.623611099,201.6
0.589521872,202
0.544733021,202.4
0.49035246,202.8
0.436152369,203.2
0.392356108,203.6
0.363323002,204
0.348181378,204.4
0.340055706,204.8
0.32584571,205.2
0.298784614,205.6
0.26905364,206
0.253707249,206.4
0.250224596,206.8
0.249662554,207.2
0.253515684,207.6
0.266823692,208
0.294303051,208.4
0.339371593,208.8
0.40401635,209.2
0.487137068,209.6
0.578952879,210
0.665222438,210.4
0.736200696,210.8
0.77708547,211.2
0.77828411,211.6
0.741603689,212
0.678394432,212.4
0.597509285,212.8
0.498085779,213.2
0.386970487,213.6
0.278467742,214
0.184306426,214.4
0.113477859,214.8
0.068026298,215.2
0.030471544,215.6
-0.020587,216
-0.099322005,216.4
-0.196925066,216.8
-0.30149445,217.2
-0.413794472,217.6
-0.526074101,218
-0.612638954,218.4
-0.655912277,218.8
-0.648065252,219.2
-0.588290505,219.6
-0.486513114,220
-0.369801262,220.4
-0.267799012,220.8
-0.192353559,221.2
-0.145360998,221.6
-0.126142888,222
-0.131282552,222.4
-0.151183916,222.8
-0.170544128,223.2
-0.181876934,223.6
-0.190048109,224
-0.205058943,224.4
-0.232103864,224.8
-0.286704579,225.2
-0.378297669,225.6
-0.49469695,226
-0.618541423,226.4
-0.736684729,226.8
-0.835732213,227.2
-0.892826302,227.6
-0.889161334,228
-0.8287563,228.4
-0.723673309,228.8
-0.59261656,229.2
-0.458262486,229.6
-0.34479784,230
-0.263369924,230.4
-0.203035593,230.8
-0.150584707,231.2
-0.098504363,231.6
-0.041723877,232
0.02186854,232.4
0.089658266,232.8
0.15730851,233.2
0.221999559,233.6
0.285364876,234
0.349467839,234.4
0.397947584,234.8
0.419708793,235.2
0.425275288,235.6
0.422028138,236
0.409728228,236.4
0.388101428,236.8
0.356713846,237.2
0.312297798,237.6
0.248442227,238
0.156234019,238.4
0.029898576,238.8
-0.126580304,239.2
-0.301811965,239.6
-0.478141863,240
-0.630821195,240.4
-0.747659009,240.8
-0.834406657,241.2
-0.894863683,241.6
-0.933716286,242
-0.959079716,242.4
-0.977199484,242.8
-0.98313127,243.2
-0.968437905,243.6
-0.934663627,244
-0.888786221,244.4
-0.832547492,244.8
-0.763194045,245.2
-0.67824917,245.6
-0.575595494,246
-0.451317005,246.4
-0.302976622,246.8
-0.151745562,247.2
-0.021537168,247.6
0.077420382,248
0.144406919,248.4
0.196590265,248.8
0.248346141,249.2
0.293279195,249.6
0.325810337,250
0.334547149,250.4
0.306381868,250.8
0.241758527,251.2
0.142333097,251.6
0.011085746,252
-0.138169355,252.4
-0.278892544,252.8
-0.400010959,253.2
-0.506556733,253.6
-0.600635312,254
-0.681652621,254.4
-0.748779246,254.8
-0.802828437,255.2
-0.848012701,255.6
-0.886960253,256
-0.916140426,256.4
-0.941379062,256.8
-0.954824825,257.2
-0.937045384,257.6
-0.874687697,258
-0.769663636,258.4
-0.647900785,258.8
-0.537465477,259.2
-0.444355066,259.6
-0.368024295,260
-0.30880877,260.4
-0.267562516,260.8
-0.244250641,261.2
-0.23617552,261.6
-0.239170829,262
-0.25224506,262.4
-0.283638407,262.8
-0.337794886,263.2
-0.413270518,263.6
-0.511955152,264
-0.637727497,264.4
-0.786225048,264.8
-0.934426077,265.2
-1.050211934,265.6
-1.107363127,266
